z,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Bang Bon,13.6592,100.3991,ขาหมูบางหว้า,13.657136,100.39523,Thai Restaurant
Bang Bon,13.6592,100.3991,Irashaimase Japanese Restaurant,13.65835806,100.4014034,Japanese Restaurant
Bang Bon,13.6592,100.3991,Lotus Express (โลตัส เอ็กซ์เพรส),13.65783912,100.3972435,Convenience Store
Bang Bon,13.6592,100.3991,Tesco Lotus Express thanon ekkachai bangbon,13.657758,100.397366,Shopping Mall
Bang Bon,13.6592,100.3991,Lotus Express Bongbon,13.65762993,100.3973252,Grocery Store
Bang Bon,13.6592,100.3991,ก๋วยเตี๋ยวปลา แม่ช้อนทอง,13.657938,100.396723,Noodle House
Bang Bon,13.6592,100.3991,Sticker I Do,13.65773449,100.3957565,Automotive Shop
Bang Kapi,13.765833,100.647778,ตลาดนัดแฟลตคลองจั่น,13.77010545,100.6491238,Flea Market
Bang Kapi,13.765833,100.647778,ซ้งโภชนา ลูกชิ้นปลาทำเอง,13.761873,100.64829,Noodle House
Bang Kapi,13.765833,100.647778,เจ๊แมว ก๋วยเตี๋ยวเรือ,13.7671276,100.6496394,Noodle House
Bang Kapi,13.765833,100.647778,Suan Son (สวนสน),13.76293968,100.6488947,Neighborhood
Bang Kapi,13.765833,100.647778,Bang Kapi Market (ตลาดบางกะปิ),13.76654283,100.6462026,Market
Bang Kapi,13.765833,100.647778,Baan Suan Massage (บ้านสวนมาสสาจ),13.76541152,100.6511925,Massage Studio
Bang Kapi,13.765833,100.647778,ทรงกิจลูกชิ้นเนื้อวัว,13.76303563,100.6484846,Noodle House
Bang Kapi,13.765833,100.647778,Tea Pe Ooh,13.762931,100.6479355,Coffee Shop
Bang Kapi,13.765833,100.647778,Major Cineplex Bangkapi (เมเจอร์ ซีนีเพล็กซ์ บางกะปิ),13.76719894,100.6442311,Multiplex
Bang Kapi,13.765833,100.647778,MK (เอ็มเค),13.76738001,100.6435813,Hotpot Restaurant
Bang Kapi,13.765833,100.647778,7-Eleven,13.7679779,100.6507949,Convenience Store
Bang Kapi,13.765833,100.647778,ก๋วยเตี๋ยวเนื้อ ลำสาลี,13.76188388,100.6456519,Noodle House
Bang Kapi,13.765833,100.647778,Batcat Museum & Toys Thailand,13.76389215,100.6454251,Museum
Bang Kapi,13.765833,100.647778,Shabushi (ชาบูชิ),13.7673316,100.6438278,Shabu-Shabu Restaurant
Bang Kapi,13.765833,100.647778,Hachiban Ramen (ฮะจิบัง ราเมน),13.76757212,100.6435912,Ramen Restaurant
Bang Kapi,13.765833,100.647778,Bar B Q Plaza (บาร์บีคิว พลาซ่า),13.76740778,100.6438643,BBQ Joint
Bang Kapi,13.765833,100.647778,ส้มตำลาว,13.76833517,100.6502903,Som Tum Restaurant
