Venue Category,Count
Noodle House,126
Convenience Store,80
Coffee Shop,79
Thai Restaurant,74
Café,53
Asian Restaurant,45
Japanese Restaurant,33
Chinese Restaurant,32
Hotel,29
Dessert Shop,27
Som Tum Restaurant,22
Hotpot Restaurant,21
Fast Food Restaurant,20
BBQ Joint,19
Bakery,18
Seafood Restaurant,16
Steakhouse,16
Shopping Mall,16
Bar,13
Ice Cream Shop,12
Restaurant,11
Gym / Fitness Center,11
Massage Studio,11
Park,10
Flea Market,10
Hostel,10
Food Court,10
Shabu-Shabu Restaurant,9
Sushi Restaurant,9
Pizza Place,8
Italian Restaurant,8
Supermarket,8
Bookstore,8
Clothing Store,7
Dim Sum Restaurant,7
Art Gallery,7
Train Station,7
Department Store,7
Farmers Market,6
Cocktail Bar,6
Buffet,6
Ramen Restaurant,6
Market,6
Hotel Bar,6
Historic Site,5
Vietnamese Restaurant,5
Korean Restaurant,5
Spa,5
Badminton Court,4
Multiplex,4
Museum,4
Beer Bar,4
Halal Restaurant,4
Food Truck,4
Tea Room,4
Soup Place,4
Cosmetics Shop,4
Stadium,4
Breakfast Spot,4
Music Venue,3
Intersection,3
Canal,3
Bus Stop,3
Pub,3
Burger Joint,3
Gift Shop,3
Diner,3
Electronics Store,3
Fried Chicken Joint,3
Sake Bar,2
Other Nightlife,2
Pool,2
Jazz Club,2
Sporting Goods Shop,2
Theater,2
Wings Joint,2
Lounge,2
Sports Club,2
Playground,2
Tour Provider,2
Vegetarian / Vegan Restaurant,2
Soccer Field,2
Mobile Phone Shop,2
Other Repair Shop,2
Snack Place,2
American Restaurant,2
Japanese Curry Restaurant,2
Donburi Restaurant,2
Building,2
Furniture / Home Store,2
Food & Drink Shop,2
Big Box Store,2
Bed & Breakfast,2
Grocery Store,2
Health & Beauty Service,2
Auto Garage,2
Comfort Food Restaurant,2
Donut Shop,1
Shoe Store,1
College Quad,1
Satay Restaurant,1
Dog Run,1
Salad Place,1
Skating Rink,1
Dive Shop,1
Discount Store,1
Dumpling Restaurant,1
Soccer Stadium,1
Coworking Space,1
Bus Line,1
Speakeasy,1
Tonkatsu Restaurant,1
Arts & Entertainment,1
Wine Bar,1
Veterinarian,1
Automotive Shop,1
Udon Restaurant,1
Toy / Game Store,1
Bike Rental / Bike Share,1
Cantonese Restaurant,1
Bistro,1
Bowling Alley,1
Brewery,1
Bubble Tea Shop,1
River,1
Cafeteria,1
Roof Deck,1
Rest Area,1
Duty-free Shop,1
Antique Shop,1
Nightclub,1
Neighborhood,1
German Restaurant,1
Golf Driving Range,1
Gourmet Shop,1
Movie Theater,1
Monument / Landmark,1
Mexican Restaurant,1
Mediterranean Restaurant,1
Medical Center,1
Gym,1
History Museum,1
Hotel Pool,1
Karaoke Bar,1
Juice Bar,1
Gay Bar,1
Office,1
Optical Shop,1
Pier,1
Residential Building (Apartment / Condo),1
Recreation Center,1
Recording Studio,1
Floating Market,1
Food,1
Frozen Yogurt Shop,1
Photography Studio,1
Organic Grocery,1
Pharmacy,1
Pedestrian Plaza,1
Pastry Shop,1
Gaming Cafe,1
Garden,1
Garden Center,1
Women's Store,1
