District,area(km2)
Sai Mai,44.615
Bang Khae,44.456
Bang Khen,42.123
Khlong Sam Wa,110.686
Bang Khun Thian,120.687
Lat Krabang,123.859
Prawet,52.49
Don Mueang,36.803
Nong Chok,236.261
Chatuchak,32.908
Chom Thong,26.265
Nong Khaem,35.825
Bang Kapi,28.523
Bueng Kum,24.311
Min Buri,63.645
Phasi Charoen,17.834
Bang Sue,11.545
Din Daeng,8.354
Lat Phrao,22.157
Thung Khru,30.741
Suan Luang,23.678
Bangkok Noi,11.944
Wang Thonglang,19.265
Thon Buri,8.551
Bang Bon,34.745
Lak Si,22.841
Khlong Toei,12.994
Taling Chan,29.479
Dusit,10.665
Bang Phlat,11.36
Khan Na Yao,25.98
Saphan Sung,28.124
Bang Na,18.789
Phra Khanong,13.986
Bang Kho Laem,10.921
Vadhana,12.565
Rat Burana,15.782
Sathon,9.326
Huai Khwang,15.033
Yan Nawa,16.662
Thawi Watthana,50.219
Khlong San,6.051
Ratchathewi,7.126
Phaya Thai,9.595
Bangkok Yai,6.18
Phra Nakhon,5.536
Pathum Wan,8.369
Pom Prap Sattru Phai,1.931
Bang Rak,5.536
Samphanthawong,1.416
